timestamp,num_process,num_fds,num_conn,num_ssh,num_active_users,cpu_usage,cpu_load,ram,tx_bytes,rx_bytes,failed_logins
53829,151,20277,2,0,1,1.5,2.5,32.7,1406.0,3492.0,0
53852,152,20288,2,0,1,0.3,2.5,32.6,603.0,2689.0,0
53874,157,22266,2,0,1,1.2,3.0,33.7,633.0,2545.0,0
53897,158,22272,2,0,1,0.0,3.0,33.8,3840.0,6181.0,1
53919,156,22175,1,0,1,0.2,2.5,33.8,548.0,2554.0,0
53941,155,22172,1,0,1,0.2,2.5,33.8,3586.0,5605.0,3
53964,156,22175,1,0,1,0.0,2.5,33.8,3706.0,5761.0,3
53986,156,22175,1,0,1,0.0,3.0,33.8,7474.0,8149.0,0
54009,155,22164,1,0,1,0.0,3.0,33.8,488.0,2512.0,0
54032,155,22164,1,0,1,0.0,3.5000000000000004,33.8,578.0,2524.0,0
54054,155,22164,1,0,1,0.0,3.5000000000000004,33.8,398.0,2206.0,0
54077,155,22164,1,0,1,0.0,3.5000000000000004,33.8,518.0,2524.0,0
54100,155,22164,1,0,1,0.2,3.5000000000000004,33.8,548.0,2614.0,0
54122,155,22241,1,0,1,0.7,3.5000000000000004,33.8,428.0,2484.0,0
54145,155,22164,1,0,1,0.0,3.5000000000000004,33.8,488.0,2392.0,0
54167,155,22164,1,0,1,0.0,4.0,33.8,488.0,2452.0,0
54190,154,22161,1,0,1,0.5,4.0,33.8,488.0,2734.0,0
54212,154,22161,1,0,1,0.2,4.0,33.8,722.0,2974.0,0
54240,154,22161,1,0,1,0.2,4.0,33.8,518.0,2386.0,0
54262,155,22164,1,0,1,0.5,4.0,33.8,428.0,2470.0,0
54285,156,22167,1,0,1,0.2,4.5,33.8,638.0,2818.0,0
54307,156,22167,1,0,1,0.4,4.5,33.8,428.0,2374.0,0
54330,156,22167,1,0,1,0.2,4.5,33.8,578.0,2602.0,0
54352,156,22167,1,0,1,0.2,4.5,33.8,488.0,2278.0,0
54375,156,22167,1,0,1,0.5,5.0,33.8,578.0,2662.0,0
54397,156,22167,1,0,1,0.2,4.5,33.8,428.0,2350.0,0
54420,156,22167,1,0,1,0.0,4.5,33.8,638.0,2584.0,0
54442,156,22167,1,0,1,0.2,5.0,33.8,428.0,2296.0,0
54465,156,22167,1,0,1,0.5,4.5,33.8,578.0,2584.0,0
54487,156,22167,1,0,1,0.0,4.5,33.8,548.0,2476.0,0
54509,156,22167,1,0,1,0.2,4.5,33.8,808.0,3334.0,0
54542,156,22167,1,0,1,0.0,4.0,33.8,573.0,2902.0,0
54570,156,22167,1,0,1,0.0,4.0,33.8,782.0,3076.0,0
54597,154,22161,1,0,1,0.5,4.5,33.8,428.0,2218.0,0
54620,154,22161,1,0,1,0.2,4.5,33.8,548.0,2536.0,0
54642,154,22161,1,0,1,0.5,4.5,33.8,488.0,2488.0,0
54665,154,22161,1,0,1,0.0,5.0,33.8,578.0,2578.0,0
54687,154,22161,1,0,1,0.2,4.5,33.8,488.0,2512.0,0
54710,155,22164,1,0,1,1.0,4.5,33.8,638.0,2428.0,0
54732,155,22164,1,0,1,0.2,4.5,33.8,488.0,2544.0,0
54755,169,26921,1,0,1,0.0,4.5,37.7,578.0,2662.0,0
54777,169,26682,1,0,1,0.2,4.5,37.7,488.0,2392.0,0
54800,170,26685,1,0,1,0.5,4.5,37.8,578.0,2662.0,0
54822,170,26685,1,0,1,0.0,4.5,37.8,488.0,2512.0,0
54845,170,26685,1,0,1,0.7,4.5,37.8,578.0,2524.0,0
